station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VIS;01.09.2016 00:00;16.7;29.1;4.7;15.9;-0.3;36.4;68.7;12.5;945;;1534.4;;1020;2.5;18;9;64.8;26.3;190;;;;13441;67;93.4;17.3;0;0;-51.6
VIS;01.10.2016 00:00;9.1;21.2;-2.5;8.1;-7;23.9;73.6;8.4;945;;1510;;1020.1;2.3;21.9;8.3;78.8;34.3;115;;;;9059;59;47;0;306.6;98.6;0.2
VIS;01.11.2016 00:00;5;16.3;-7.9;3.4;-11.5;19.2;77.9;6.8;941.9;;1470;;1016.8;3.1;19.3;11.2;69.5;62.2;48;;;;1913;41;30;0;423.1;215.1;54
VIS;01.12.2016 00:00;-3.3;12.1;-12.7;-6.8;-14.9;11.3;85;4.1;954.3;;1546.4;;1030;1.4;22.4;5;80.6;0.1;16;;;;0;;14.1;0;721;473;-2.6
VIS;01.01.2017 00:00;-3.3;9.8;-14;-6;-18.4;10.4;78;3.8;946.2;;1480.2;;1021.4;2.4;21.1;8.6;76;33.5;29;;;;585;42;19.3;0;722.9;474.9;30.2
VIS;01.02.2017 00:00;5;19.7;-5.1;3.9;-9.6;23.7;64.8;5.4;943.2;;1481;;1018.1;3.2;20.8;11.5;74.9;27.6;104;;;;7565;64;43.3;0;419.6;195.6;14.6
VIS;01.03.2017 00:00;8.9;22.5;-1.8;8.2;-5.1;26.5;65.5;7.1;943.2;;1494.2;;1018.2;3.5;19.8;12.6;71.3;116.8;151;;;;10045;53;73.9;0;305.1;105.1;71.8
VIS;01.04.2017 00:00;10.7;24.5;-5.5;10.4;-12.9;29.1;52.9;6.5;942.9;;1496.6;;1017.8;4.1;19.4;14.8;69.8;9.7;248;;;;15734;71;114.9;0;190.5;54.5;-110.6
VIS;01.05.2017 00:00;15.5;31.4;-1.2;15.5;-6.3;36.7;57.7;9.6;942.4;;1508.1;;1017.3;3.6;19.2;13;69.1;42.1;266;;;;14866;61;146.1;22.5;89.7;17.7;-88.8
VIS;01.06.2017 00:00;20.8;34.8;4.4;20.9;-1.5;38.7;59.2;13.8;941.7;;1518.7;;1016.6;3.4;21.8;12.2;78.5;52;294;;;;16643;69;172.2;92.5;0;0;-105.2
VIS;01.07.2017 00:00;20.6;33.4;9.7;20.4;5.2;37.9;59.2;13.7;942.7;;1527.2;;1017.6;3.9;20.3;14;73.1;34;268;;;;14666;60;171.9;80.3;0;0;-112.5
VIS;01.08.2017 00:00;20.2;35.5;7.6;19.5;3;38;64.6;14.6;944.4;;1540.8;;1019.4;2.9;27.8;10.4;100.1;97.2;233;;;;14984;64;141.1;78.8;0;0;-36.8
VIS;01.09.2017 00:00;13.4;27;0.2;13.1;-3.7;31.2;67.3;10;942.4;;1501.4;;1017.3;2.8;20.7;10.1;74.5;9.1;181;;;;11597;58;84.4;0.6;84.6;12.6;
VIS;01.10.2017 00:00;10.4;23.1;-1.6;9.2;-5.3;26.4;69.6;8.5;947.9;;1539.1;;1023.1;2.5;20.5;9;73.8;16.4;132;;;;11055;72;52.4;0;242;58;-28.2
VIS;01.11.2017 00:00;2.9;17.1;-7.2;1.1;-9.8;19;76.3;5.7;942.8;;1471.7;;1017.7;2.6;20.2;9.4;72.7;44.7;45;;;;2119;45;23.7;0;513;273;35
VIS;01.12.2017 00:00;-1.6;7.6;-10.9;-3.5;-12.7;5.2;82;4.5;943.6;;1462.5;;1018.5;2.4;25.7;8.6;92.5;83.1;22;;;;0;;14.7;0;670.7;422.7;
VIS;01.01.2018 00:00;2.7;12.2;-8;0.7;-11.6;12.7;79.9;5.9;942.6;;1469.2;;1017.5;3.3;23.3;11.9;83.9;327.5;31;;;;873;63;24.1;0;536.6;288.6;326.5
VIS;01.02.2018 00:00;0;9.6;-11.5;-0.6;-17;13.5;66.7;4.2;937.6;;1419;;1012.1;2.5;18.7;9;67.3;26.1;88;;;;5211;44;26;0;559.7;335.7;16.5
VIS;01.03.2018 00:00;5.6;16.7;-7.4;5.4;-12.5;21.5;61.5;5.5;930;;1370.5;;1004.1;3.9;23.7;14;85.3;42.9;145;;;;7669;40;67.8;0;445.2;197.2;3.4
VIS;01.04.2018 00:00;13.1;26.1;-2.1;12.6;-6.7;31.9;50.9;7.3;940.1;;1480.6;;1014.9;5.1;22.9;18.4;82.4;32.2;242;;;;14874;67;129.5;0;100;20;-84.1
VIS;01.05.2018 00:00;15.4;28.2;4.7;15.4;1.1;33.3;65.8;11;940.4;;1489.9;;1015.1;3.1;22.9;11.2;82.4;80;246;;;;11647;48;129.9;3.1;47.8;7.8;-11.1
VIS;01.06.2018 00:00;19.6;32;5.1;19.5;-0.2;37;58.1;12.4;941.2;;1510.5;;1016.1;3.1;17;11.2;61.2;18.8;302;;;;16758;70;166.8;47.7;0;0;-142.2
VIS;01.07.2018 00:00;21.6;34;9.4;21.4;3.5;37.8;56.8;13.6;941.8;;1521.4;;1016.6;3.1;21.6;11.2;77.8;14.5;306;;;;18672;76;187.3;104.3;0;0;-174
VIS;01.08.2018 00:00;20.4;35.2;6.9;19.7;2.2;38.8;63.5;14.5;943.9;;1536.3;;1018.8;2.8;26.8;10.1;96.5;16;238;;;;15437;66;143;73.5;0;0;-107.4
VIS;01.09.2018 00:00;17.1;30;1.3;16.5;-1.9;34;65.7;12.2;946.3;;1544.7;;1021.5;2.3;19.8;8.3;71.3;20.1;211;;;;15115;75;101.1;14.4;9.3;1.3;-71.6
VIS;01.10.2018 00:00;11.5;24.9;-1;9.9;-5.2;26.3;68.2;8.9;943;;1500.8;;1018;3.4;21.3;12.2;76.7;130.8;129;;;;10729;70;67.1;0;195.5;51.5;67.6
VIS;01.11.2018 00:00;6.8;18.6;-5.1;4.6;-8.7;19.7;71.5;7;941.8;;1474.9;;1016.6;4;19.4;14.4;69.8;31.8;49;;;;2722;58;41.7;0;365.1;165.1;35.9
VIS;01.12.2018 00:00;1.5;11.3;-10.2;-0.2;-12.6;11.3;84.8;6;947.4;;1506.1;;1022.7;2.3;22.3;8.3;80.3;161;23;;;;0;;16;0;572.2;324.2;159.7
VIS;01.01.2019 00:00;-1.2;6.2;-11.3;-3;-13.3;8.6;71.4;4;941.3;;1445.4;;1016.1;3.1;23.3;11.2;83.9;47.7;34;;;;715;51;22;0;657.7;409.7;44.6
VIS;01.02.2019 00:00;3.1;18.4;-7.5;1.8;-11.2;22.7;66.5;4.9;948.6;;1520.4;;1023.9;2.2;24;7.9;86.4;12.8;127;;;;9961;84;32.6;0;474.4;250.4;-2.7
VIS;01.03.2019 00:00;7.1;21.2;-6.5;6.3;-9.6;25.5;56.7;5.4;945.2;;1504.9;;1020.2;4.1;23.6;14.8;85;44.9;182;;;;12525;66;82.9;0;399;151;-21.9
VIS;01.04.2019 00:00;10.5;21.3;-3.7;10.3;-7;27.3;55.9;6.7;938.3;;1457.2;;1013;5.1;21;18.4;75.6;46.2;230;;;;11908;54;115.3;0;235.9;67.9;-44.1
VIS;01.05.2019 00:00;12.4;26.2;-3.4;12.3;-9.1;30.3;59.3;8.2;938.9;;1467.7;;1013.6;4.2;21.8;15.1;78.5;21.9;278;;;;13694;57;132.6;0;140.9;28.9;-97.6
VIS;01.06.2019 00:00;20;35.9;6.1;19.7;1.5;38.9;59.2;13;942.9;;1526.8;;1017.8;3.3;29.8;11.9;107.3;38.6;298;;;;16294;68;166.8;75.7;0;0;-119
VIS;01.07.2019 00:00;21.3;36.2;8.2;20.9;3.2;37.9;61.5;14.7;941.5;;1518.3;;1016.4;3;22.2;10.8;79.9;64.4;295;;;;17157;70;171.6;94.5;0;0;
VIS;01.08.2019 00:00;19.8;33;8.5;19.1;5.3;34.7;67.6;14.9;943.8;;1534;;1018.8;2.7;31;9.7;111.6;40.8;253;;;;15821;67;138.8;56.1;0;0;-76.8
VIS;01.09.2019 00:00;16.1;28.6;5.1;14.8;0.1;29.9;67.6;11.9;944.7;;1530.1;;1019.8;3;19.4;10.8;69.8;16.4;197;;;;13300;66;98.2;4.9;8;0;-59.6
VIS;01.10.2019 00:00;12.8;25.6;1;11.7;-2.5;28.9;72.3;10.4;942.6;;1501.1;;1017.5;3.5;20.2;12.6;72.7;54.6;116;;;;7794;51;64.7;0.7;131.3;19.3;19.6
VIS;01.11.2019 00:00;5.1;15.1;-4.8;4;-6.4;19.5;82.5;7.3;932.9;;1393.8;;1007.2;2.9;21.4;10.4;77;142.3;46;;;;1513;32;23.4;0;446.4;206.4;135.9
VIS;01.12.2019 00:00;2.7;15;-7.5;0.5;-9.9;14.7;79.6;5.8;942;;1463.1;;1016.8;3.5;21.4;12.6;77;92.4;21;;;;0;;28.5;0;520.3;288.3;89.4
VIS;01.01.2020 00:00;-0.2;9.2;-8.1;-2.9;;;79.5;4.8;950.5;;1520.2;;1025.2;1.5;20.9;5.4;75.2;18.1;29;;;;664;48;16.6;0;627;379;
VIS;01.02.2020 00:00;4.7;17.8;-5.3;3.4;-7.9;22.4;66.9;5.6;945.7;;1502.2;;1020.9;4;26.4;14.4;95;69.9;97;;;;6447;52;44.2;0;442.3;210.3;57.6
VIS;01.03.2020 00:00;6.7;20.7;-5.6;6.1;-10.3;25.4;63.1;6;941.2;;1470.3;;1016.1;3.6;20.6;13;74.2;52.2;182;;;;12010;63;71.9;0;411.1;163.1;2.5
VIS;01.04.2020 00:00;12.9;24;-3.4;11.7;-8.9;31;51.5;7.2;941.4;;1491;;1016.3;3.1;16.8;11.2;60.5;16.6;258;;;;15881;72;119.3;0;91.7;19.7;-105.6
VIS;01.05.2020 00:00;15.5;29.7;3.6;15.1;-1.6;33.5;62;10.1;942.8;;1510.9;;1017.7;3.4;25;12.2;90;51.1;286;;;;15688;65;149.8;2.7;30.2;6.2;-79.6
VIS;01.06.2020 00:00;17.6;31.1;7.1;17.9;1.1;37.3;64.6;12.4;939.7;;1490.7;;1014.4;3.4;21.2;12.2;76.3;78.3;267;;;;12393;52;144.8;27.6;0;0;-36.7
VIS;01.07.2020 00:00;20.7;33.8;8.5;20.5;3.4;37.8;60.2;13.9;943.2;;1531.4;;1018.1;3.4;27.3;12.2;98.3;24.8;315;;;;18659;76;182.5;77.2;0;0;-147.7
VIS;01.08.2020 00:00;19.6;33.5;5.9;18.8;0.8;38.9;67.5;14.6;941.6;;1513.2;;1016.4;2.8;18.7;10.1;67.3;50.4;247;;;;15237;65;138.2;63.8;8.1;0.1;-64.9
VIS;01.09.2020 00:00;15.6;31;0.4;15.1;-3.9;34.6;72.7;12.6;943.1;;1514.8;;1018;2.3;22.2;8.3;79.9;19.7;195;;;;13134;65;87.9;5.3;67.1;19.1;-48.7
VIS;01.10.2020 00:00;9.4;19.7;-1.4;8.8;-5.9;23.3;76.1;8.8;940.8;;1474.2;;1015.6;2.9;21.1;10.4;76;78.6;117;;;;7733;50;48.3;0;309.8;85.8;50.2
VIS;01.11.2020 00:00;3.9;18.8;-7.1;1.5;-10.1;22.8;80.8;6.6;949.7;;1532.7;;1025;1.4;17.2;5;61.9;2.1;48;;;;3016;64;18.9;0;476.6;244.6;-7.1
VIS;01.12.2020 00:00;1.1;10.3;-8.4;-1;-10.5;7.9;80.9;5.3;936;;1408.3;;1010.5;2.2;20.5;7.9;73.8;45.8;29;;;;0;;16.4;0;587.1;339.1;42.9
VIS;01.01.2021 00:00;-1.1;10.6;-15.5;-3.1;-19.1;10.6;80.8;4.7;937.6;;1415.4;;1012.2;2.8;26.4;10.1;95;168;32;;;;181;13;17.3;0;653.5;405.5;164.3
VIS;01.02.2021 00:00;5.1;19.7;-10.2;4;-14.8;23.6;67.1;5.7;943.6;;1484.7;;1018.6;2.8;21.7;10.1;78.1;20.4;107;;;;7015;59;40.6;0;418;194;9.3
VIS;01.03.2021 00:00;6.7;23.8;-5.7;;;;56.3;5.2;946.1;;;;;2.9;21.1;10.4;76;28.5;196;;;;13426;71;75.2;0;399.5;167.5;
VIS;01.04.2021 00:00;9.3;23.5;-6.1;9;-14.3;31.1;51.1;5.9;941.1;;1476.9;;1015.9;3.8;20.7;13.7;74.5;11;262;;;;15303;69;110.5;0;260.9;92.9;-108.1
VIS;01.05.2021 00:00;12.1;26.3;0;12.2;-4.9;40.7;60.9;8.1;940.2;;1478.2;;1015;4.5;20.6;16.2;74.2;92.4;256;;;;12505;52;127.4;0;161;33;-20.5
VIS;01.06.2021 00:00;20.1;32.6;6.6;20.4;-0.6;39.2;62.1;13.8;943.4;;1531.4;;1018.4;3.2;19.3;11.5;69.5;46.4;286;;;;13998;58;164.2;65;0;0;-83
VIS;01.07.2021 00:00;18.8;29.9;9.1;19.2;3.2;35.7;71.6;15;941.8;;1512.6;;1016.6;2.6;22.8;9.4;82.1;99.3;248;;;;12916;53;134.2;37.8;0;0;-1.3
VIS;01.08.2021 00:00;18.1;32;7.7;18;2.7;35.3;68.7;13.8;942.6;;1518;;1017.5;3;24.6;10.8;88.6;21.1;266;;;;16584;71;137.5;21.3;0;0;-90.9
VIS;01.09.2021 00:00;16.1;27.7;4.8;16.1;-0.7;31.8;74.6;13.2;945.3;;1535.6;;1020.4;2;14.8;7.2;53.3;41.7;197;;;;13886;69;86.8;2.4;18;2;-26.8
VIS;01.10.2021 00:00;9.7;22.9;-2.3;8.6;-6.4;27.2;69.7;8.1;945.7;;1517.3;;1020.8;2.8;19;10.1;68.4;35.4;141;;;;11674;76;58;0.6;282;90;-7.9
VIS;01.11.2021 00:00;4.3;18.4;-4.8;2.6;-9;20.6;77.2;6.5;941.1;;1461.3;;1015.9;2.6;17.5;9.4;63;17;51;;;;2674;57;26.4;0;465.8;233.8;6.6
VIS;01.12.2021 00:00;-2.3;8.1;-15.8;-3;-10.9;7.7;89.3;4.8;942.7;;1453.3;;1017.6;1.5;18.6;5.4;67;119.3;23;;;;0;;10.5;0;690.1;442.1;117.9
VIS;01.01.2022 00:00;-3.5;8.6;-17.8;-6.1;-14.7;10.1;84.7;4.1;950.3;;1512.5;;1025.7;1.6;20.7;5.8;74.5;19.6;29;;;;987;71;12.9;0;728.6;480.6;18.3
VIS;01.02.2022 00:00;3.7;15.1;-6.1;2.8;-9.9;20.2;64.4;5.1;946.8;;1508.2;;1022;3.9;24.2;14;87.1;34.6;113;;;;7812;66;37.5;0;455.5;231.5;20.1
VIS;01.03.2022 00:00;7.9;21;-6.1;7.2;-10.2;27;45.6;4.6;946.2;;1516.2;;1021.3;3.8;20.8;13.7;74.9;0.8;195;;;;13787;73;93.7;0;358.5;126.5;-78
VIS;01.04.2022 00:00;10.4;24.4;-1.2;10.2;-6.5;30.4;59.2;7.1;937.9;;1452.5;;1012.5;3.5;20.9;12.6;75.2;46.5;245;;;;13752;62;106.2;0;218.8;66.8;-51.7
VIS;01.05.2022 00:00;17.6;33.3;1.3;17.9;-3.8;42.3;58.2;10.9;943.2;;1521.6;;1018.2;3.1;26.7;11.2;96.1;17.4;290;;;;16080;66;159.7;37.3;17.8;1.8;-120.8
VIS;01.06.2022 00:00;20.6;35.4;5.6;20.5;0.8;39.4;60.3;13.8;942.7;;1527;;1017.6;3.6;30.2;13;108.7;54.3;283;;;;15661;65;169.4;85.3;0;0;-94.2
VIS;01.07.2022 00:00;22.6;35.7;9.5;21.7;4.5;39.6;56.1;14.3;945.1;;1554.9;;1020.2;3.2;23.6;11.5;85;27.3;326;;;;20586;84;198;133.7;0;0;-177.3
VIS;01.08.2022 00:00;21.3;35.1;10;20.9;4.8;40;60.7;14.4;941.9;;1521.6;;1016.8;2.9;17.4;10.4;62.6;35.3;258;;;;16682;71;154.3;95.7;0;0;-111.1
VIS;01.09.2022 00:00;15.5;30.4;2.3;15;-2;35.8;66.4;11.4;940.1;;1487.8;;1014.9;3.3;19.1;11.9;68.8;45.4;196;;;;12260;61;100.1;11.4;78.1;6.1;-36.2
VIS;01.10.2022 00:00;13.1;23.7;3.5;12.2;-1.1;27.5;77.3;11.3;947.9;;1548.1;;1023.2;1.8;19.2;6.5;69.1;44.2;120;;;;9141;60;48.7;0;51.9;3.9;13
VIS;01.11.2022 00:00;5.8;17.5;-4.8;4.1;-8;19;77.7;7.1;942.3;;1476;;1017.2;1.8;16.3;6.5;58.7;31.2;52;;;;2379;51;22.1;0;419.1;187.1;22.2
VIS;01.12.2022 00:00;2;11.3;-8.9;0.2;-11.6;10.9;84.3;6.1;941;;1453.8;;1015.8;1.6;16.7;5.8;60.1;94;26;;;;0;;13.7;0;559.3;311.3;91.6
VIS;01.01.2023 00:00;-0.4;14.8;-15.9;-2.8;-19.9;14.3;79.7;4.9;943.9;;1470.7;;1019;1.8;19.4;6.5;69.8;29.2;39;;;;1045;75;15;0;633.7;385.7;27.7
VIS;01.02.2023 00:00;3.2;16.4;-9.4;1.9;-12.6;20.2;64.4;4.9;950.5;;;;1025.9;2.2;19.2;7.9;69.1;1;123;;;;9704;82;34.2;0;471.3;247.3;-14
VIS;01.03.2023 00:00;7.1;20.3;-6;6.5;-9.6;25.5;67;6.6;939.1;;1453.1;;1013.8;3.4;22;12.2;79.2;127.2;151;;;;9693;51;63.8;0;393.7;153.7;88.6
VIS;01.04.2023 00:00;9.6;22.5;-3.3;9.3;-8.7;28.3;62.9;7.3;939.7;;1466.1;;1014.5;3.7;18.3;13.3;65.9;68.3;219;;;;10523;47;92.2;0;279.8;79.8;-11.4
VIS;01.05.2023 00:00;15.2;28.8;2;15.6;-2.5;34.7;63.5;10.4;941.5;;1498.9;;1016.3;3.3;17.9;11.9;64.4;26;264;;;;12449;51;133.8;8.3;53.2;5.2;-65.8
VIS;01.06.2023 00:00;20.1;31.9;7;20;2.4;37.8;58.3;13;941.6;;1514.9;;1016.4;3.1;21.7;11.2;78.1;39.5;298;;;;15494;65;166.1;56.1;0;0;-108.4
VIS;01.07.2023 00:00;21.3;36.2;7.3;21;4.4;40.4;59.6;14.4;942;;1523.2;;1016.9;3.7;21.4;13.3;77;72.7;298;;;;17185;70;179.2;96.1;0;0;-92.8
VIS;01.08.2023 00:00;20.2;36.5;6.8;19.7;3.7;37.2;62.3;14.1;942.3;;1521.8;;1017.2;3.4;20.3;12.2;73.1;81.5;243;;;;14277;61;148.6;89.2;9.4;1.4;-44.6
VIS;01.09.2023 00:00;18;29.8;2.3;17.2;-1.9;34.2;68.3;13.7;944.7;;1536.2;;1019.8;2.5;15.9;9;57.2;23.5;208;;;;14957;74;101.2;33.9;17.7;1.7;-60.5
VIS;01.10.2023 00:00;13;25.5;0.2;11.7;-4.7;30.8;69.6;10.1;940.7;;1484.7;;1015.5;3;22.8;10.8;82.1;37.8;128;;;;10011;65;61.7;0;101.2;21.2;-6
VIS;01.11.2023 00:00;4.4;16;-4.9;3.1;-8.6;17.2;81.8;6.9;937.6;;1432.2;;1012.2;2.8;26.4;10.1;95;192.8;42;;;;1497;32;23.1;0;468.3;228.3;182.2
VIS;01.12.2023 00:00;2;10.8;-9.3;0;-12.6;10.3;82.2;5.8;944.1;;1479.3;;1019.1;2.5;25.8;9;92.9;132.7;23;;;;0;;18.3;0;558.7;310.7;134.2
VIS;01.01.2024 00:00;2;13;-9.8;0.2;-12.1;15;78.9;5.7;944.8;;1485.1;;1019.8;2.1;19.3;7.6;69.5;60.5;36;;;;718;52;18.2;0;557.2;309.2;58.6
VIS;01.02.2024 00:00;6.4;17.5;-5.2;5.4;-8;20.5;68.3;6.4;941.5;;1470.4;;1016.4;3;18.6;10.8;67;28.5;98;;;;6236;51;41.1;0;395.6;163.6;17.1
VIS;01.03.2024 00:00;8;20;-2.9;7.5;-7.3;27.3;67.5;7.1;936.4;;1432.9;;1011;4.6;23.8;16.6;85.7;127.4;136;;;;7552;40;69.4;0;370.8;122.8;95.5
VIS;01.04.2024 00:00;10.8;27.4;-2.7;10.3;-9.3;34.5;56.9;7.1;941.9;;1488.5;;1016.7;5;21.3;18;76.7;21.9;214;;;;10061;45;110.1;1.6;223.9;79.9;-53.4
VIS;01.05.2024 00:00;14.1;26.5;2.6;14.3;-0.7;34.2;68.3;10.5;939.5;;1477.5;;1014.2;3.5;19.4;12.6;69.8;103.2;233;;;;10413;43;119.3;0;56.9;8.9;25.7
VIS;01.06.2024 00:00;18.3;31.7;7.1;18.5;2.8;37;66.9;13.6;940.9;;1503.6;;1015.7;3.2;22.8;11.5;82.1;50;245;;;;11157;46;138;34.5;0;0;-49.7
VIS;01.07.2024 00:00;21.2;33.9;9.6;21.6;6.5;41.5;65.8;16;942.1;;1523.6;;1017;3;18.9;10.8;68;41.9;284;;;;17029;70;164.2;93.5;0;0;-96.8
VIS;01.08.2024 00:00;21;33.6;11;21.1;8;40.1;68.6;16.4;942.8;;1529;;1017.7;2.4;17.3;8.6;62.3;38.6;251;;;;17587;75;138.8;85.4;0;0;-81.9
VIS;01.09.2024 00:00;14.8;30.7;0.6;14.2;-1.9;33.2;71;11.8;941.4;;1496.7;;1016.2;3.6;20.1;13;72.4;69.8;161;;;;9066;45;85.4;14.8;70.4;14.4;14.5
VIS;01.10.2024 00:00;12.3;23.3;1.3;11.2;-1.2;25.6;77.6;10.9;943.6;;1508.3;;1018.6;2.9;20.1;10.4;72.4;74.9;103;;;;6809;44;53.3;1.7;143.2;31.2;50.8
VIS;01.11.2024 00:00;3.4;15.1;-9.5;1.3;-8;19.6;80.6;6.3;947.4;;1511.6;;1022.6;1.7;20.5;6.1;73.8;75.8;55;;;;4133;88;19.3;0;499.1;259.1;65.4
VIS;01.12.2024 00:00;-1.2;9.1;-12.9;-1.8;-10.3;8.3;85.4;4.9;948.4;;1504.8;;1023.7;2;22.6;7.2;81.4;74.1;21;;;;0;;13.7;0;656.3;408.3;71.8
VIS;01.01.2025 00:00;1.2;12.9;-13.6;-1.1;-14.8;11.8;77.5;5.2;943.2;;1468.4;;1018.1;2.8;23;10.1;82.8;76.9;28;;;;423;30;24.8;0;584.2;336.2;75.1
VIS;01.02.2025 00:00;3.9;17.5;-6.8;2.6;-9.8;19.4;65.9;5.2;946.9;;1509.5;;1022.1;2.8;19.5;10.1;70.2;6;111;;;;7397;63;37.8;0;450.1;226.1;-5.7
VIS;01.03.2025 00:00;8.6;18.2;-5.8;8;-9.5;22.7;53.7;5.7;939.6;;1461.3;;1014.3;4.1;24.8;14.8;89.3;11.9;182;;;;12391;65;92;0;345.8;105.8;-47.6
VIS;01.04.2025 00:00;12;25.9;-2.3;10.9;-7.4;32.4;56.9;7.5;940.5;;1479.9;;1015.3;4;19.5;14.4;70.2;167.6;248;;;;15829;71;114.6;0;139.4;35.4;58.9
VIS;01.05.2025 00:00;15;31.3;2.7;14.9;-3.3;35.9;61.6;10;940.9;;1493.3;;1015.7;3.7;20.4;13.3;73.4;45.4;272;;;;13898;57;139.7;5.3;43.5;3.5;-72.4
VIS;01.06.2025 00:00;21.7;34.9;7.4;21.7;3.5;41.3;58.9;14.5;945.2;;1552.8;;1020.3;3.2;25.3;11.5;91.1;39.7;286;;;;16213;68;172.4;105.8;0;0;-114.6
